CONTRATO|FUNCAO_ANTIGA|PEDIDOS|FUNCAO_DESTINO|SITUACAO
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H DEAM E DRACO VIAMÃO|2|LIMPEZA 20H DEAM E DRACO VIAMÃO|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H DP CAPELA DE SANTANA|1|LIMPEZA 20H DP CAPELA DE SANTANA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H DP DOIS IRMÃOS|1|LIMPEZA 20H DP DOIS IRMÃOS|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H DP ESTÂNCIA VELHA|2|LIMPEZA 20H DP ESTÂNCIA VELHA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H DP GLORINHA|2|LIMPEZA 20H DP GLORINHA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H DP NOVA HARTZ|2|LIMPEZA 20H DP NOVA HARTZ|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H DP PAROBÉ|1|LIMPEZA 20H DP PAROBÉ|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H DP PORTÃO|2|LIMPEZA 20H DP PORTÃO|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H POA|10|LIMPEZA 20H POA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 20H SÃO LEOPOLDO|1|LIMPEZA 20H SÃO LEOPOLDO|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 30H 3ª DP NH|2|LIMPEZA 30H 3ª DP NH|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 30H CANOAS|3|LIMPEZA 30H CANOAS|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 30H DEAM ESTEIO|1|LIMPEZA 30H DEAM ESTEIO|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 30H DP CAMPO BOM|2|LIMPEZA 30H DP CAMPO BOM|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 30H POA|6|LIMPEZA 30H POA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 30H SÃO LEOPOLDO|3|LIMPEZA 30H SÃO LEOPOLDO|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H 1ª DP E DHPP ALVORADA|6|LIMPEZA 40H 1ª DP E DHPP ALVORADA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H 1ª DPRM GRAVATAÍ|3|LIMPEZA 40H 1ª DPRM GRAVATAÍ|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H 1ª E 2ª DP VIAMÃO|4|LIMPEZA 40H 1ª E 2ª DP VIAMÃO|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H 2ª DP NH|2|LIMPEZA 40H 2ª DP NH|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H CANOAS|2|LIMPEZA 40H CANOAS|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H DP SAPIRANGA|2|LIMPEZA 40H DP SAPIRANGA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H POA|49|LIMPEZA 40H POA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H SÃO LEOPOLDO|4|LIMPEZA 40H SÃO LEOPOLDO|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H DPPA ALVORADA|2|LIMPEZA 44H DPPA ALVORADA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H DPPA NH|2|LIMPEZA 44H DPPA NH|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H DPPA SÃO LEOPOLDO|2|LIMPEZA 44H DPPA SÃO LEOPOLDO|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H DPPA VIAMÃO|2|LIMPEZA 44H DPPA VIAMÃO|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H POA|2|LIMPEZA 44H POA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA REGIME ESPECIAL 12X36 DIURNO CANOAS|1|LIMPEZA REGIME ESPECIAL 12X36 DIURNO CANOAS|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA REGIME ESPECIAL 12X36 DIURNO POA|2|LIMPEZA REGIME ESPECIAL 12X36 DIURNO POA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA REGIME ESPECIAL 12X36 NOTURNO POA|6|LIMPEZA REGIME ESPECIAL 12X36 NOTURNO POA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|SERVENTE DE LIMPEZA|3|SERVENTE DE LIMPEZA|ok
POLÍCIA CIVIL RS LIMPEZA - 066/2026|SUPERVISOR 40H POA|4|SUPERVISOR 40H POA|ok
PREF POA SMS RECEPÇÃO - 98672.2025|PORTEIRO|3|—|funcao inexistente no contrato
PREF POA SMS RECEPÇÃO - 98672.2025|RECEPCIONISTA|29|RECEPCIONISTA|ok
SALTO DO JACUI - 722 2021|VIGIA|2|VIGIA|ok
SAMU TELEFONISTAS- 96397.2025|ROP|6|ROP|ok
SAMU TELEFONISTAS- 96397.2025|TARM|7|TARM|ok
SEC CULT POA - PORT-88123 2024|PORTEIRO|3|PORTEIRO|ok
SEMAE - 3038.2020|AUX LIMPEZA|8|AUX LIMPEZA|ok
SEMAE - 3038.2020|COPEIRO|1|COPEIRO|ok
TJRS - 023.2025|SERVENTE DE LIMPEZA|37|SERVENTE DE LIMPEZA|ok
TJRS - 023.2025|SUPERVISOR TÉCNICO OPERACIONAL|8|SUPERVISOR TÉCNICO OPERACIONAL|ok
TRIUNFO COLETA DE LIXO - 89.2026|COLETOR|68|COLETOR|ok
TRIUNFO COLETA DE LIXO - 89.2026|MOTORISTA|1|MOTORISTA|ok
TRIUNFO VIGIAS - 33 2024|VIGIA|28|VIGIA|ok
UFFS - 041.2021|ASG|9|ASG|ok
UFFS - 041.2021|AUX DE LIMPEZA|44|AUX DE LIMPEZA|ok
UFFS - 041.2021|AUXILIAR DE VETERINARIO|4|AUXILIAR DE VETERINARIO|ok
UFFS - 041.2021|ENCARREGADO ADMINISTRATIVO|24|ENCARREGADO ADMINISTRATIVO|ok
UFFS - 041.2021|JARDINEIRO|8|JARDINEIRO|ok
UFFS - 041.2021|MOTORISTA|4|MOTORISTA|ok
UFFS - 041.2021|RECEPCIONISTA|2|RECEPCIONISTA|ok
UFFS - 041.2021|SERVIÇO BRAÇAL|2|SERVIÇO BRAÇAL|ok
UFFS - 041.2021|TRABALHADOR VOLANTE DA AGRICULTURA|6|TRABALHADOR VOLANTE DA AGRICULTURA|ok
UFRGS - ASB - 033 2021|AUX EM SAÚDE BUCAL|11|AUX EM SAÚDE BUCAL|ok
UFRGS ASB - 033.2021|AUX EM SAÚDE BUCAL|6|AUX EM SAÚDE BUCAL|ok
UFRGS CARREGADORES - 095.2024|AJUDANTE DE CARGA E DESCARGA|2|AJUDANTE DE CARGA E DESCARGA|ok
UFRGS-COPA E COZINHA - 025 2025|AUX DE COZINHA|2|AUX DE COZINHA|ok
UFRGS-COPA E COZINHA - 025 2025|COPEIRA|2|COPEIRA|ok
UFRGS DIGITADORES - 014.2026|DIGITADOR A|25|—|funcao inexistente no contrato
UFRGS DIGITADORES - 014.2026|DIGITADOR B|2|—|funcao inexistente no contrato
UFRGS  JARDINAGEM - 062.2025|ASG|15|ASG|ok
UFRGS  JARDINAGEM - 062.2025|JARDINEIRO|16|JARDINEIRO|ok
UFRGS  JARDINAGEM - 062.2025|SUPERVISOR|6|SUPERVISOR|ok
UFRGS - JARDINAGEM - 062 2025|ASG|9|ASG|ok
UFRGS - JARDINAGEM - 062 2025|JARDINEIRO|14|JARDINEIRO|ok
UFRGS - JARDINAGEM - 062 2025|SUPERVISOR|3|SUPERVISOR|ok
UFRGS LIMPEZA - 020.2022|SERVENTE DE LIMPEZA|19|SERVENTE DE LIMPEZA|ok
UFRGS-LIMPEZA -020 2022|SERVENTE DE LIMPEZA|23|SERVENTE DE LIMPEZA|ok
UFRGS-LIMPEZA -020 2022|SUPERVISOR|2|SUPERVISOR|ok
UFRGS LIMPEZA GERAL - 047.2022|SERVENTE DE LIMPEZA|131|SERVENTE DE LIMPEZA|ok
UFRGS LIMPEZA GERAL - 047.2022|SUPERVISOR|5|SUPERVISOR|ok
UFRGS-LIMPEZA GERAL- 047 2022|SERVENTE DE LIMPEZA|75|SERVENTE DE LIMPEZA|ok
UFRGS-LIMPEZA GERAL- 047 2022|SUPERVISOR|8|SUPERVISOR|ok
UFRGS - MOTORISTAS - 034 2022|MOTORISTA CAT B|7|MOTORISTA CAT B|ok
UFRGS - MOTORISTAS - 034 2022|MOTORISTA CAT C|7|MOTORISTA CAT C|ok
UFRGS - MOTORISTAS - 034 2022|MOTORISTA CAT D|4|MOTORISTA CAT D|ok
UFRGS - MOTORISTAS - 034 2022|SUPERVISOR DE TRANSPORTES|2|SUPERVISOR DE TRANSPORTES|ok
UFRGS - MOTORISTAS - 034 2022|TRATORISTA|2|TRATORISTA|ok
UFRGS MOTORISTAS - 034.2022|MOTORISTA CAT B|1|MOTORISTA CAT B|ok
UFRGS MOTORISTAS - 034.2022|MOTORISTA CAT D|4|MOTORISTA CAT D|ok
UFRGS MOTORISTAS - 034.2022|TRATORISTA|2|TRATORISTA|ok
VERANÓPOLIS - 001 2021|AUX DE COZINHA|5|AUX DE COZINHA|ok
VERANÓPOLIS - 001 2021|COPEIRO|1|COPEIRO|ok
VERANÓPOLIS - 001 2021|COZINHEIRO GERAL|3|COZINHEIRO GERAL|ok
VERANÓPOLIS - 001 2021|SERVENTE DE LIMPEZA|46|SERVENTE DE LIMPEZA|ok
VERANOPOLIS RECEPÇÃO-011.2026|EDUCADOR SOCIAL|5|—|contrato nao casado
VERANOPOLIS RECEPÇÃO-011.2026|MONITOR|3|—|contrato nao casado
VERANOPOLIS RECEPÇÃO-011.2026|RECEPCIONISTA|9|—|contrato nao casado
