contrato|funcao|n
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H DP SAPIRANGA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H POA|49
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 40H SÃO LEOPOLDO|4
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H DPPA ALVORADA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H DPPA NH|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H DPPA SÃO LEOPOLDO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H DPPA VIAMÃO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA 44H POA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA REGIME ESPECIAL 12X36 DIURNO CANOAS|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA REGIME ESPECIAL 12X36 DIURNO POA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|LIMPEZA REGIME ESPECIAL 12X36 NOTURNO POA|6
POLÍCIA CIVIL RS LIMPEZA - 066/2026|SERVENTE DE LIMPEZA|3
POLÍCIA CIVIL RS LIMPEZA - 066/2026|SUPERVISOR 40H POA|4
PREF POA SMS RECEPÇÃO - 98672.2025|PORTEIRO|3
PREF POA SMS RECEPÇÃO - 98672.2025|RECEPCIONISTA|29
SALTO DO JACUI - 722 2021|VIGIA|2
SAMU TELEFONISTAS- 96397.2025|ROP|6
SAMU TELEFONISTAS- 96397.2025|TARM|7
SEC CULT POA - PORT-88123 2024|PORTEIRO|3
SEMAE - 3038.2020|AUX LIMPEZA|8
SEMAE - 3038.2020|COPEIRO|1
TJRS - 023.2025|SERVENTE DE LIMPEZA|37
TJRS - 023.2025|SUPERVISOR TÉCNICO OPERACIONAL|8
TRIUNFO COLETA DE LIXO - 89.2026|COLETOR|68
TRIUNFO COLETA DE LIXO - 89.2026|MOTORISTA|1
TRIUNFO VIGIAS - 33 2024|VIGIA|28
UFFS - 041.2021|ASG|9
UFFS - 041.2021|AUX DE LIMPEZA|44
UFFS - 041.2021|AUXILIAR DE VETERINARIO|4
UFFS - 041.2021|ENCARREGADO ADMINISTRATIVO|24
UFFS - 041.2021|JARDINEIRO|8
UFFS - 041.2021|MOTORISTA|4
UFFS - 041.2021|RECEPCIONISTA|2
UFFS - 041.2021|SERVIÇO BRAÇAL|2
UFFS - 041.2021|TRABALHADOR VOLANTE DA AGRICULTURA|6
UFRGS - ASB - 033 2021|AUX EM SAÚDE BUCAL|11
UFRGS ASB - 033.2021|AUX EM SAÚDE BUCAL|6
UFRGS CARREGADORES - 095.2024|AJUDANTE DE CARGA E DESCARGA|2
UFRGS-COPA E COZINHA - 025 2025|AUX DE COZINHA|2
UFRGS-COPA E COZINHA - 025 2025|COPEIRA|2
UFRGS DIGITADORES - 014.2026|DIGITADOR A|25
UFRGS DIGITADORES - 014.2026|DIGITADOR B|2
UFRGS  JARDINAGEM - 062.2025|ASG|15
UFRGS  JARDINAGEM - 062.2025|JARDINEIRO|16
UFRGS  JARDINAGEM - 062.2025|SUPERVISOR|6
UFRGS - JARDINAGEM - 062 2025|ASG|9
UFRGS - JARDINAGEM - 062 2025|JARDINEIRO|14
UFRGS - JARDINAGEM - 062 2025|SUPERVISOR|3
UFRGS LIMPEZA - 020.2022|SERVENTE DE LIMPEZA|19
UFRGS-LIMPEZA -020 2022|SERVENTE DE LIMPEZA|23
UFRGS-LIMPEZA -020 2022|SUPERVISOR|2
UFRGS LIMPEZA GERAL - 047.2022|SERVENTE DE LIMPEZA|131
UFRGS LIMPEZA GERAL - 047.2022|SUPERVISOR|5
UFRGS-LIMPEZA GERAL- 047 2022|SERVENTE DE LIMPEZA|75
UFRGS-LIMPEZA GERAL- 047 2022|SUPERVISOR|8
UFRGS - MOTORISTAS - 034 2022|MOTORISTA CAT B|7
UFRGS - MOTORISTAS - 034 2022|MOTORISTA CAT C|7
UFRGS - MOTORISTAS - 034 2022|MOTORISTA CAT D|4
UFRGS - MOTORISTAS - 034 2022|SUPERVISOR DE TRANSPORTES|2
UFRGS - MOTORISTAS - 034 2022|TRATORISTA|2
UFRGS MOTORISTAS - 034.2022|MOTORISTA CAT B|1
UFRGS MOTORISTAS - 034.2022|MOTORISTA CAT D|4
UFRGS MOTORISTAS - 034.2022|TRATORISTA|2
VERANÓPOLIS - 001 2021|AUX DE COZINHA|5
VERANÓPOLIS - 001 2021|COPEIRO|1
VERANÓPOLIS - 001 2021|COZINHEIRO GERAL|3
VERANÓPOLIS - 001 2021|SERVENTE DE LIMPEZA|46
VERANOPOLIS RECEPÇÃO-011.2026|EDUCADOR SOCIAL|5
VERANOPOLIS RECEPÇÃO-011.2026|MONITOR|3
VERANOPOLIS RECEPÇÃO-011.2026|RECEPCIONISTA|9
(149 linhas)
